dataset,temperature,model_type,pass@1,pass@2,pass@4,pass@8,pass@16,maj@1,pass@32,pass@64
math500,0.6,baseline,35.15,50.24,64.70,76.19,84.20,44.80,nan,nan
math500,0.6,instruct,75.00,80.96,85.61,88.97,89.80,79.20,nan,nan
math500,1.0,baseline,28.94,45.24,62.49,76.32,84.80,43.80,nan,nan
math500,1.0,instruct,74.28,80.93,85.65,88.82,89.60,79.40,nan,nan
math500,1.2,baseline,18.00,30.78,47.70,65.44,79.80,17.40,nan,nan
math500,1.2,instruct,69.58,77.48,83.41,87.19,88.00,76.60,nan,nan
aime,0.6,baseline,3.96,6.90,10.97,15.65,20.46,6.67,25.79,33.33
aime,0.6,instruct,9.58,15.53,22.44,28.86,34.26,20.00,39.61,46.67
aime,1.0,baseline,2.76,5.09,8.78,13.64,18.55,0.00,22.47,26.67
aime,1.0,instruct,9.06,14.40,20.33,26.17,31.96,20.00,38.05,46.67
aime,1.2,baseline,0.94,1.84,3.52,6.49,11.14,0.00,17.10,23.33
aime,1.2,instruct,7.97,12.89,18.45,23.63,28.35,16.67,32.94,36.67
amc,0.6,baseline,34.14,47.74,60.60,71.15,78.89,50.00,84.21,87.50
amc,0.6,instruct,53.91,63.57,71.47,77.60,82.58,62.50,88.09,95.00
amc,1.0,baseline,23.79,37.29,51.74,64.33,73.77,42.50,80.13,85.00
amc,1.0,instruct,52.73,63.45,72.67,79.94,85.90,62.50,90.49,92.50
amc,1.2,baseline,14.06,24.64,39.19,54.86,67.73,10.00,76.69,82.50
amc,1.2,instruct,47.50,58.98,69.05,77.25,83.64,57.50,88.62,92.50
